83,84,85,86,87,88,89,90,91,92;70,71,72,73,74
85,86,87,88,89,90,91,92,93,94,95;72,73,74,75,76,77,78,79,80,81,82,83,84
20,25,36,45,89;25,36,77,88,98
94,95,96,97,98,99;83,84,85,86,87,88,89,90,91,92,93,94,95,96
85,86,87,88,89,90;89,90,91,92,93,94,95
72,73,74,75,76,77,78,79,80,81,82;92,93,94,95,96,97
87,88,89,90,91,92,93;98,99,100,101,102,103,104
54,55,56,57,58,59,60,61,62,63,64,65,66,67,68;92,93,94,95,96,97,98,99,100
99,100,101,102,103;97,98,99,100,101,102,103,104,105,106,107,108
87,88,89,90,91,92,93,94,95;61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
57,58,59,60,61,62,63,64,65,66,67,68;78,79,80,81,82,83,84,85,86,87,88,89,90
70,71,72,73,74,75,76,77,78,79,80,81,82;92,93,94,95,96,97,98,99
1,2,3,4;3,4,5,6
9,10,11;33,34,35
85,86,87,88,89;59,60,61,62,63
58,59,60,61,62,63,64,65,66,67,68;51,52,53,54,55,56,57,58,59,60,61,62,63
66,67,68,69,70,71,72,73,74,75,76,77;82,83,84,85,86,87,88,89,90,91,92
97,98,99,100,101,102,103;66,67,68,69,70,71,72,73
64,65,66,67,68,69,70,71,72,73,74,75,76,77;63,64,65,66,67,68,69,70,71,72,73
9,10,11;11,12,13
